Date,BWX,DBC,EEM,EFA,HYG,IEF,IYR,PSP,QAI,SHV,SPY,TIP
2010-01-04,24.081058502197266,24.3763370513916,32.42902374267578,37.99448776245117,40.281585693359375,67.64604187011719,28.44830894470215,38.480567932128906,23.59811019897461,99.08526611328125,87.48318481445312,74.18972778320312
2010-01-05,24.19515037536621,24.405311584472656,32.664405822753906,38.02796936035156,40.47269058227539,67.94315338134766,28.51661491394043,38.893009185791016,23.658329010009766,99.04928588867188,87.71475982666016,74.43184661865234
2010-01-06,24.152894973754883,24.83991241455078,32.732730865478516,38.18871307373047,40.577354431152344,67.66895294189453,28.504199981689453,39.099220275878906,23.701343536376953,99.05831909179688,87.77653503417969,74.23958587646484
2010-01-07,24.013456344604492,24.53086280822754,32.54291915893555,38.041358947753906,40.74114227294922,67.66895294189453,28.75881004333496,39.30544662475586,23.641124725341797,99.05831909179688,88.14704132080078,74.35353088378906
2010-01-08,24.152894973754883,24.511547088623047,32.80107879638672,38.342750549316406,40.80482482910156,67.75273132324219,28.5662899017334,39.429176330566406,23.701343536376953,99.09428405761719,88.4404067993164,74.5102310180664
2010-01-11,24.321928024291992,24.434282302856445,32.732730865478516,38.65753173828125,40.7684440612793,67.79840850830078,28.702919006347656,39.92409133911133,23.692745208740234,99.09428405761719,88.56389617919922,74.3464126586914
2010-01-12,24.334583282470703,23.912763595581055,32.20883560180664,38.20211410522461,40.55912399291992,68.28585052490234,28.21853256225586,39.099220275878906,23.59811019897461,99.08526611328125,87.73793029785156,74.68830108642578
2010-01-13,24.414875030517578,23.932077407836914,32.30754089355469,38.52357864379883,40.65012741088867,67.95838165283203,28.74639892578125,39.51165771484375,23.61531639099121,99.07630157470703,88.4789810180664,74.35353088378906
2010-01-14,24.44446563720703,23.8065242767334,32.22401809692383,38.81825637817383,40.695674896240234,68.2781982421875,28.647035598754883,39.88285827636719,23.606712341308594,99.07630157470703,88.71829986572266,74.54581451416016
2010-01-15,24.410655975341797,23.536108016967773,31.851964950561523,38.20878982543945,40.531837463378906,68.5828628540039,28.38620948791504,39.55290985107422,23.51207733154297,99.0672607421875,87.72252655029297,74.78794860839844
2010-01-19,24.309236526489258,23.69063377380371,32.49736785888672,38.583858489990234,40.55005645751953,68.46102905273438,28.951332092285156,39.92409133911133,23.62392234802246,99.08526611328125,88.81864166259766,74.73097229003906
2010-01-20,23.94162940979004,23.24637222290039,31.715299606323242,37.599342346191406,40.49089431762695,68.69709014892578,28.653247833251953,39.63539505004883,23.43465232849121,99.08526611328125,87.91547393798828,74.844970703125
2010-01-21,24.055700302124023,22.95663833618164,30.758590698242188,36.79563903808594,39.858428955078125,68.94844055175781,27.839731216430664,38.85174560546875,23.23678207397461,99.08526611328125,86.22496795654297,74.9874038696289
2010-01-22,24.07260513305664,22.715192794799805,30.07524871826172,36.07902145385742,39.48078536987305,69.00936126708984,27.200082778930664,37.861915588378906,23.064722061157227,99.0672607421875,84.3028335571289,74.9161605834961
2010-01-25,24.03458595275879,22.821428298950195,30.295440673828125,36.52104568481445,39.539947509765625,68.85704803466797,27.398805618286133,38.39806365966797,23.202373504638672,99.10324096679688,84.73512268066406,74.72389221191406
2010-01-26,24.051483154296875,22.570327758789062,29.665224075317383,36.313419342041016,39.58995819091797,68.9941177368164,27.162832260131836,37.903141021728516,23.07332420349121,99.10324096679688,84.38003540039062,74.95175170898438
2010-01-27,23.94162940979004,22.241958618164062,29.589303970336914,36.273250579833984,39.603668212890625,68.83416748046875,27.411230087280273,37.903141021728516,23.030309677124023,99.0672607421875,84.78144073486328,74.75233459472656
2010-01-28,23.85711669921875,22.164697647094727,29.384288787841797,35.66378402709961,39.43528747558594,68.81134033203125,27.150407791137695,37.82064437866211,22.995899200439453,99.0672607421875,83.80880737304688,74.85208129882812
2010-01-29,23.662734985351562,21.913593292236328,29.065393447875977,35.14807891845703,39.23507308959961,69.07794189453125,26.970321655273438,37.03702926635742,22.970088958740234,99.10324096679688,82.89790344238281,75.12982940673828
2010-02-01,23.707237243652344,22.444772720336914,29.847461700439453,35.7910270690918,39.42445373535156,68.84102630615234,27.460912704467773,37.531951904296875,23.09913444519043,99.07809448242188,84.18704986572266,75.09980010986328
2010-02-02,23.80895233154297,22.927663803100586,30.090429306030273,36.38710403442383,39.543670654296875,68.95564270019531,27.914247512817383,38.43931198120117,23.150753021240234,99.09608459472656,85.20600128173828,75.23542785644531
2010-02-03,23.7326602935791,22.6475887298584,29.91579818725586,36.00534439086914,39.745452880859375,68.6270523071289,27.591310501098633,38.191856384277344,23.107738494873047,99.08707427978516,84.78144073486328,74.92862701416016
2010-02-04,23.59281349182129,21.894277572631836,28.56426239013672,34.538604736328125,39.18141174316406,69.19252014160156,26.560457229614258,36.500850677490234,22.78082275390625,99.08707427978516,82.1645736694336,75.12841033935547
